batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1350,0.0623556582,0.0605783309,0.0850480110,0.0219876869,0.0950501063,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.0895200000,0.0774301810,0.0693876514,0.0592683278,0.0848425518,0
1351,0.0600461894,0.0581991215,0.0823045267,0.0214599824,0.0920133617,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.0866000000,0.0745535179,0.0784801768,0.0669619281,0.0815793767,0
1352,0.0653249753,0.0675329429,0.0809327846,0.0223394899,0.1020346189,0.0000000000,0.0088546679,1.0000000000,1.0000000000,0.0866800000,0.0848615606,0.0728671933,0.0701785971,0.0925110132,0
1353,0.0785219400,0.0832723280,0.0836762689,0.0263852243,0.1336167628,0.0000000000,0.0082771896,1.0000000000,1.0000000000,0.0922800000,0.1084741700,0.0909252533,0.0918190984,0.1130690162,0
1354,0.0593863411,0.0572840410,0.0823045267,0.0211081794,0.0889766171,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.0864000000,0.0726357425,0.0644096208,0.0539752268,0.0804372655,0
1355,0.0590564170,0.0563689605,0.0823045267,0.0211081794,0.0889766171,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.0863600000,0.0720364377,0.0908236609,0.0531950646,0.0794583129,0
1356,0.0610359617,0.0591142020,0.0850480110,0.0218117854,0.0926207106,0.0000000000,0.0034648701,1.0000000000,1.0000000000,0.0892400000,0.0752726837,0.0624031697,0.0528589947,0.0828846468,0
1357,0.0663147476,0.0657027818,0.0823045267,0.0225153914,0.1032493167,0.0000000000,0.0063522618,1.0000000000,1.0000000000,0.0881200000,0.0840225339,0.0684225230,0.0580440732,0.0913689019,0
1358,0.0590564170,0.0563689605,0.0823045267,0.0211081794,0.0889766171,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.0863600000,0.0720364377,0.0563076220,0.0467617264,0.0794583129,0
1359,0.0682942923,0.0675329429,0.0850480110,0.0230430959,0.1065897358,0.0000000000,0.0063522618,1.0000000000,1.0000000000,0.0909600000,0.0864197531,0.0705813629,0.0604565750,0.0939794420,0
1360,0.0597162653,0.0585651537,0.0836762689,0.0212840809,0.0892802915,0.0000000000,0.0050048123,1.0000000000,1.0000000000,0.0876800000,0.0737144912,0.0645620095,0.0548394066,0.0817425355,0
1361,0.0590564170,0.0565519766,0.0823045267,0.0211081794,0.0911023383,0.0000000000,0.0017324350,1.0000000000,1.0000000000,0.0863600000,0.0729953254,0.0643080283,0.0533150895,0.0796214717,0
1362,0.0676344441,0.0671669107,0.0836762689,0.0228671944,0.1084117826,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.0896400000,0.0871389189,0.0788611485,0.0687262951,0.0933268070,0
1363,0.0600461894,0.0572840410,0.0836762689,0.0214599824,0.0923170361,0.0000000000,0.0017324350,1.0000000000,1.0000000000,0.0878000000,0.0739542131,0.0671780154,0.0559556388,0.0807635830,0
1364,0.0590564170,0.0587481698,0.0823045267,0.0211081794,0.0904949894,0.0000000000,0.0044273340,1.0000000000,1.0000000000,0.0863600000,0.0741939350,0.0644604170,0.0572759134,0.0815793767,0
1365,0.0857802705,0.0973645681,0.0864197531,0.0277924362,0.1515335560,0.0000000000,0.0140519731,1.0000000000,1.0000000000,0.0964400000,0.1253745655,0.0884362380,0.0871141197,0.1292217327,0
1366,0.0630155064,0.0596632504,0.0877914952,0.0225153914,0.0956574552,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.0921200000,0.0768308762,0.0634952886,0.0505785203,0.0843530755,0
1367,0.0620257341,0.0614934114,0.0864197531,0.0221635884,0.0944427574,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.0906800000,0.0775500420,0.0607776903,0.0532190696,0.0854951868,0
1368,0.0692840647,0.0677159590,0.0877914952,0.0237467018,0.1096264804,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.0936400000,0.0880978065,0.0760927539,0.0632891641,0.0946320770,0
1369,0.0633454306,0.0596632504,0.0877914952,0.0225153914,0.0959611297,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.0921600000,0.0769507371,0.0635714830,0.0610206923,0.0845162343,0
1370,0.0689541405,0.0695461201,0.0823045267,0.0239226033,0.1102338293,0.0000000000,0.0059672762,1.0000000000,1.0000000000,0.0887600000,0.0897758600,0.0720290554,0.0627610543,0.0961005058,0
1371,0.0626855823,0.0592972182,0.0877914952,0.0225153914,0.0953537807,0.0000000000,0.0017324350,1.0000000000,1.0000000000,0.0920400000,0.0765911543,0.0711147233,0.0660977483,0.0838635993,0
1372,0.0620257341,0.0589311859,0.0864197531,0.0221635884,0.0947464318,0.0000000000,0.0019249278,1.0000000000,1.0000000000,0.0906800000,0.0759918495,0.0781246032,0.0662177733,0.0832109643,0
1373,0.0696139888,0.0700951684,0.0877914952,0.0239226033,0.1120558761,0.0000000000,0.0050048123,1.0000000000,1.0000000000,0.0937200000,0.0906148867,0.0843471414,0.0742954535,0.0969162996,0
1374,0.0633454306,0.0602122987,0.0877914952,0.0225153914,0.0962648041,0.0000000000,0.0025024062,1.0000000000,1.0000000000,0.0921600000,0.0774301810,0.0740609047,0.0613447597,0.0850057106,0
1375,0.0620257341,0.0585651537,0.0864197531,0.0221635884,0.0956574552,0.0000000000,0.0009624639,1.0000000000,1.0000000000,0.0906800000,0.0761117104,0.0791913240,0.0648734937,0.0828846468,0
1376,0.0791817882,0.0838213763,0.0850480110,0.0267370273,0.1345277862,0.0000000000,0.0080846968,1.0000000000,1.0000000000,0.0936400000,0.1090734748,0.0998907881,0.0874501896,0.1138848099,0
1377,0.0603761135,0.0571010249,0.0836762689,0.0214599824,0.0904949894,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.0878400000,0.0731151864,0.0642826302,0.0523908973,0.0807635830,0
1378,0.0663147476,0.0673499268,0.0823045267,0.0225153914,0.1029456423,0.0000000000,0.0082771896,1.0000000000,1.0000000000,0.0881200000,0.0851012825,0.0692352627,0.0641173364,0.0928373307,0
1379,0.0593863411,0.0563689605,0.0836762689,0.0212840809,0.0883692681,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.0876400000,0.0719165768,0.0643080283,0.0533871045,0.0796214717,0
1380,0.0656548994,0.0624084919,0.0850480110,0.0232189974,0.0971758275,0.0000000000,0.0051973051,1.0000000000,1.0000000000,0.0903600000,0.0797075393,0.0774642522,0.0647414662,0.0881057269,0
1381,0.0772022435,0.0896778917,0.0836762689,0.0283201407,0.1375645308,0.0000000000,0.0096246391,1.0000000000,1.0000000000,0.0919600000,0.1153062448,0.0907728647,0.1012050507,0.1181269375,0
1382,0.0663147476,0.0658857980,0.0823045267,0.0225153914,0.1065897358,0.0000000000,0.0044273340,1.0000000000,1.0000000000,0.0881200000,0.0854608654,0.0666700531,0.0568078160,0.0915320607,0
1383,0.0673045200,0.0682650073,0.0836762689,0.0228671944,0.1078044336,0.0000000000,0.0061597690,1.0000000000,1.0000000000,0.0895600000,0.0874985017,0.0664668682,0.0578760382,0.0941426008,0
1384,0.0590564170,0.0594802343,0.0823045267,0.0211081794,0.0911023383,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.0863600000,0.0749131008,0.0570949636,0.0522828748,0.0822320117,0
1385,0.0590564170,0.0605783309,0.0823045267,0.0211081794,0.0911023383,0.0000000000,0.0059672762,1.0000000000,1.0000000000,0.0863600000,0.0756322666,0.0570695654,0.0654016035,0.0832109643,0
1386,0.0610359617,0.0569180088,0.0850480110,0.0218117854,0.0932280595,0.0000000000,0.0007699711,1.0000000000,1.0000000000,0.0892400000,0.0740740741,0.0593045996,0.0467017140,0.0809267417,0
1387,0.0663147476,0.0660688141,0.0823045267,0.0225153914,0.1056787124,0.0000000000,0.0051973051,1.0000000000,1.0000000000,0.0881200000,0.0851012825,0.0677621720,0.0554635364,0.0916952194,0
1388,0.0590564170,0.0574670571,0.0823045267,0.0211081794,0.0883692681,0.0000000000,0.0044273340,1.0000000000,1.0000000000,0.0863600000,0.0725158816,0.0611078658,0.0519107974,0.0804372655,0
1389,0.0676344441,0.0678989751,0.0836762689,0.0232189974,0.1087154570,0.0000000000,0.0050048123,1.0000000000,1.0000000000,0.0896400000,0.0877382237,0.0761181520,0.0660737433,0.0939794420,0
1390,0.0508083141,0.0479502196,0.0713305898,0.0181178540,0.0777406620,0.0000000000,0.0011549567,1.0000000000,1.0000000000,0.0747600000,0.0620879779,0.0587966373,0.0475538912,0.0678740414,0
1391,0.0125371165,0.0172035139,0.0164609053,0.0056288478,0.0233829335,0.0000000000,0.0023099134,1.0000000000,1.0000000000,0.0174800000,0.0220544169,0.0132832144,0.0159873254,0.0215369555,0
1392,0.2306169581,0.3261346999,0.3786008230,0.1217238347,0.4339508047,0.0000000000,0.0163618864,1.0000000000,1.0000000000,0.3871200000,0.4240680810,0.2796840474,0.3374501896,0.4047968674,0
1393,0.4985153415,0.6987554905,0.9053497942,0.2942832014,0.9046462193,0.0000000000,0.0034648701,1.0000000000,1.0000000000,0.9129200000,0.9131008031,0.5432656897,0.6462384176,0.8694729972,0
