batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1402,0.5490671123,1.5882007102,3.5077683287,0.1157675021,2.5090332450,-0.2487921565,-0.2164469777,0.1614974456,0.1490711985,3.3336736086,1.8761801786,0.6431067139,1.5256267112,1.2914915763,0
1403,0.5004037880,1.6198991201,3.1021903330,0.1152797130,2.5553986536,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,2.9547745696,1.9076578750,0.5940685439,1.5676615905,1.2906216260,0
1404,0.3057504904,1.4858412618,1.8275166321,0.0991826730,2.3503605137,-0.2487921565,-0.1990396755,0.1614974456,0.1490711985,1.7457034791,1.7572237680,0.2652195530,1.2493128279,1.1153266504,0
1405,0.2385951028,1.5657476699,1.2408770312,0.1064995094,2.4688498910,-0.2487921565,-0.1955582151,0.1614974456,0.1490711985,1.1990671128,1.8447024823,0.1463712306,1.2210096718,1.1379453569,0
1406,0.2347020369,1.5182000552,1.2336345670,0.0962559384,2.4132114008,-0.2487921565,-0.1955582151,0.1614974456,0.1490711985,1.1909782569,1.7919956419,0.1611967239,1.3519055944,1.1048872474,0
1407,0.2979643585,1.5228227400,1.6754248837,0.1118651894,2.3967259222,-0.2487921565,-0.2013606492,0.1614974456,0.1490711985,1.6081929290,1.7989500167,0.2030665235,1.1607481528,1.1362054564,0
1408,0.2463812347,1.4686712898,1.4219386364,0.0947925712,2.3369660623,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,1.3621214183,1.7414849199,0.1352113813,1.9823793888,1.0774838144,0
1409,0.1763060476,1.6278237225,0.7990867144,0.1099140330,2.5780661866,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,0.7822781700,1.9215666245,0.0720808467,1.2194290418,1.1509946107,0
1410,0.2473545012,1.4581051532,1.4291811006,0.0947925712,2.3307840079,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,1.3689330865,1.7334324859,0.1676319654,1.0921389315,1.0709591875,0
1411,0.2969910921,1.6080122164,1.6609399553,0.1113774003,2.5450952294,-0.2487921565,-0.2164469777,0.1614974456,0.1490711985,1.5949953221,1.8981413621,0.2294591599,1.2693176764,1.1918822725,0
1412,0.4994305215,1.6476352287,3.0152807625,0.1240599166,2.6017640621,-0.2487921565,-0.2164469777,0.1614974456,0.1490711985,2.8777175741,1.9420637291,0.5477185127,1.5152044321,1.3084556062,0
1413,0.5471205794,1.5683892041,3.4932834003,0.1060117203,2.4935781089,-0.2487921565,-0.2106445436,0.1614974456,0.1490711985,3.3200502724,1.8523888965,0.6662410001,1.5243424493,1.2775723723,0
1414,0.2619534985,1.5848987926,1.4653934217,0.0938169930,2.5275794085,-0.2487921565,-0.2060025964,0.1614974456,0.1490711985,1.4072487196,1.8692258038,0.2852584066,1.4685264521,1.1609990386,0
