batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
140,174,303,58,114,287,0,18,512,8,8352,2352,0.0024799999999999996,0.004395999999999999,477,0
141,14,25,4,10,25,0,0,512,8,592,200,0.00021500000000000002,0.00036,39,0
142,314,653,63,182,629,0,93,512,8,10072,5224,0.004811,0.010393,967,0
143,180,300,60,120,300,0,0,512,8,8640,2400,0.0025529999999999997,0.004284,480,0
144,183,305,61,122,305,0,0,512,8,8784,2440,0.0027400000000000002,0.004645,488,0
145,183,305,61,122,305,0,0,512,8,8784,2440,0.002862,0.004743,488,0
146,186,315,61,124,313,0,3,512,8,8808,2520,0.003196,0.005328,501,0
147,6,10,2,4,10,0,0,512,8,288,80,8.1e-05,0.00012699999999999997,16,0
148,47,81,15,32,78,0,3,512,8,2176,636,0.000545,0.0009509999999999999,128,0
149,192,329,64,128,305,0,24,512,8,9212,2540,0.002596,0.004526,521,0
150,192,333,64,128,313,0,20,512,8,9216,2584,0.0027140000000000003,0.0046949999999999995,525,0
151,190,333,63,126,311,0,23,512,8,9076,2576,0.0025589999999999996,0.004592,523,0
152,191,332,64,128,313,0,18,512,8,9208,2584,0.002443,0.004402,523,0
153,155,266,52,104,253,0,12,512,8,7480,2080,0.002082,0.0036499999999999996,421,0
154,23,40,7,16,40,0,0,512,8,1024,320,0.000335,0.000498,63,0
155,225,415,62,147,403,0,28,512,8,9240,3320,0.0031539999999999997,0.005670999999999999,640,0
156,245,466,59,142,463,0,47,512,8,9040,3728,0.003595,0.007260000000000001,711,0
157,181,300,60,120,301,0,0,512,8,8648,2400,0.002428,0.004018,481,0
158,183,305,61,122,305,0,0,512,8,8784,2440,0.0025250000000000003,0.0041860000000000005,488,0
159,189,315,63,126,315,0,0,512,8,9072,2520,0.00258,0.00432,504,0
160,6,10,2,4,10,0,0,512,8,288,80,8.3e-05,0.00014199999999999998,16,0
161,51,90,17,35,84,0,5,512,8,2448,700,0.000714,0.001314,141,0
162,216,384,64,137,366,0,33,512,8,9408,3000,0.0029949999999999994,0.0053219999999999995,600,0
163,195,343,62,128,326,0,22,512,8,8996,2680,0.002969,0.005431999999999999,538,0
164,189,328,63,127,305,0,22,512,8,9072,2536,0.0028439999999999993,0.004897,517,0
165,273,545,64,161,520,0,73,512,8,9864,4304,0.0036569999999999997,0.007436999999999999,818,0
166,153,265,51,102,250,0,15,512,8,7340,2064,0.0021000000000000003,0.0037029999999999997,418,0
167,248,479,99,204,399,0,25,512,8,13864,3752,0.0033779999999999995,0.0065769999999999995,727,0
168,282,530,119,246,441,0,6,512,8,16536,4216,0.0043219999999999995,0.008016,812,0
169,1222,2896,554,1262,2276,0,26,512,8,76248,23072,0.017835,0.043549,4118,0
170,1500,3981,627,1717,3109,0,28,512,8,87232,31744,0.019497999999999998,0.05191899999999999,5481,0
171,1527,3966,657,1712,3107,0,17,512,8,91056,31660,0.021211,0.054754,5493,0
172,499,1209,231,524,950,0,3,512,8,31712,9660,0.006999999999999999,0.016932000000000003,1708,0
173,307,651,60,186,605,0,107,512,8,9656,5120,0.004184,0.009001,958,0
174,197,346,64,130,327,0,22,512,8,9256,2696,0.002618,0.004706999999999999,543,0
175,211,386,63,134,365,0,35,512,8,9248,3012,0.00276,0.005304,597,0
176,192,333,64,128,319,0,14,512,8,9216,2608,0.0026579999999999998,0.004600999999999999,525,0
177,191,326,64,128,308,0,17,512,8,9208,2540,0.002705,0.004719,517,0
178,33,60,12,23,54,0,4,512,8,1704,464,0.00043499999999999995,0.0008179999999999999,93,0
179,164,283,54,110,272,0,11,512,8,7792,2220,0.0022900000000000004,0.004035,447,0
180,201,370,60,128,343,0,40,512,8,8808,2860,0.003043,0.005511,571,0
181,188,327,62,124,300,0,29,512,8,8932,2512,0.002652,0.004713,515,0
182,190,330,64,128,312,0,16,512,8,9200,2576,0.0024749999999999998,0.004304,520,0
183,293,597,64,177,564,0,85,512,8,10024,4700,0.003757,0.008008,890,0
184,38,68,13,26,62,0,5,512,8,1864,524,0.000535,0.000913,106,0
185,54,1580,25,58,85,5,1461,512,8,3432,2393,0.000904,0.036876,1634,0
186,124,4367,55,126,195,26,4089,512,8,7588,6216,0.001686,0.07550899999999999,4491,0
187,121,4231,54,128,190,7,3973,512,8,7448,6009,0.0016580000000000002,0.07116900000000001,4352,0
188,116,4419,54,125,188,19,4149,512,8,7408,6233,0.001532,0.074898,4535,0
189,150,4392,53,143,271,29,4046,512,8,7560,6866,0.001859,0.073902,4542,0
190,68,2560,29,71,110,7,2411,512,8,4024,3575,0.000907,0.043565,2628,0
191,499,1187,201,534,928,0,23,512,8,28108,9408,0.006872999999999999,0.01602,1686,0
192,1213,3533,426,1573,2744,0,3,512,8,60824,28252,0.015686,0.045251999999999994,4746,0
193,1550,3908,698,1695,3049,0,16,512,8,96156,31204,0.02107,0.05287699999999999,5458,0
194,1506,3841,657,1628,3043,0,19,512,8,90888,30652,0.021093,0.05355199999999999,5347,0
195,1489,3577,710,1513,2826,0,17,512,8,97112,28548,0.02374,0.057295,5066,0
196,341,797,164,339,633,0,2,512,8,22408,6368,0.005515000000000001,0.01284,1138,0
197,24,886,12,24,35,7,832,512,8,1632,1236,0.000333,0.014943999999999999,910,0
198,117,3829,55,120,182,21,3568,512,8,7536,5572,0.0018050000000000002,0.07309500000000001,3946,0
199,118,3640,53,121,180,17,3387,512,8,7300,5350,0.001804,0.07377700000000001,3758,0
200,112,3658,49,122,179,16,3404,512,8,6772,5379,0.001752,0.071921,3770,0
201,122,3909,52,135,194,10,3640,512,8,7216,5766,0.001838,0.07225899999999999,4031,0
202,130,3683,46,127,230,14,3396,512,8,6556,5762,0.002052,0.06729,3813,0
203,1280,3176,538,1369,2492,14,43,512,8,74796,25380,0.018133,0.046065999999999996,4456,0
204,1248,3729,420,1645,2887,0,25,512,8,60384,29732,0.015542999999999998,0.04696399999999999,4977,0
205,1422,3883,569,1693,3029,0,14,512,8,79656,31008,0.018609,0.05045699999999999,5305,0
206,1465,3998,592,1735,3125,0,11,512,8,82760,31940,0.020262,0.05477499999999999,5463,0
207,1371,3844,516,1688,2997,0,14,512,8,72888,30696,0.017941,0.05003899999999999,5215,0
208,381,1088,147,462,854,0,6,512,8,20688,8680,0.005102,0.014772,1469,0
209,1231,3244,505,1403,2539,0,28,512,8,70444,25904,0.016374999999999997,0.04332799999999999,4475,0
210,1560,3975,669,1740,3106,0,20,512,8,92756,31724,0.021190999999999998,0.05359399999999999,5535,0
211,1615,4051,712,1782,3163,0,9,512,8,98360,32372,0.021601999999999996,0.053440999999999995,5666,0
212,1533,4022,659,1732,3145,0,19,512,8,91344,32100,0.020574999999999996,0.05569899999999999,5555,0
213,1556,3987,669,1750,3115,0,9,512,8,92728,31860,0.020543,0.053572999999999996,5543,0
214,279,750,111,332,584,0,2,512,8,15552,5992,0.0035649999999999996,0.009533999999999999,1029,0
215,14,25,4,10,25,0,0,512,8,592,200,0.00016099999999999998,0.000293,39,0
216,189,315,63,126,315,0,0,512,8,9072,2520,0.0024399999999999995,0.004069,504,0
217,198,335,64,130,334,0,5,512,8,9264,2680,0.002799,0.004808,533,0
218,195,325,65,130,325,0,0,512,8,9360,2600,0.002568,0.004333999999999999,520,0
219,189,315,63,126,315,0,0,512,8,9072,2520,0.002515,0.004019999999999999,504,0
220,192,320,64,128,320,0,0,512,8,9216,2560,0.002775,0.004717,512,0
221,7,11,3,5,10,0,0,512,8,416,88,0.00010099999999999999,0.00015700000000000002,18,0
222,116,200,38,78,192,0,8,512,8,5488,1568,0.0015579999999999997,0.0027419999999999996,316,0
223,209,370,62,132,358,0,27,512,8,9108,2920,0.002875999999999999,0.00515,579,0
224,192,327,64,128,315,0,12,512,8,9212,2572,0.002842,0.004815999999999999,519,0
225,183,318,61,122,299,0,19,512,8,8784,2468,0.0028250000000000003,0.005143999999999999,501,0
226,185,319,62,124,297,0,21,512,8,8920,2468,0.003351,0.006070000000000001,504,0
227,129,263,31,85,240,0,36,512,8,4752,2080,0.0022960000000000003,0.0046879999999999995,392,0
228,59,104,19,40,98,0,6,512,8,2752,808,0.000891,0.001651,163,0
229,192,328,64,128,311,0,17,512,8,9216,2556,0.0031780000000000003,0.006534,520,0
230,246,467,62,153,449,0,49,512,8,9408,3724,0.0037349999999999996,0.0071460000000000004,713,0
231,180,307,60,120,297,0,10,512,8,8640,2416,0.002705,0.0046300000000000004,487,0
232,214,407,60,135,379,0,47,512,8,8912,3172,0.0032839999999999996,0.006536,621,0
233,148,250,49,98,245,0,6,512,8,7064,1976,0.002135,0.003726,398,0
234,44,75,14,30,75,0,0,512,8,2032,600,0.000521,0.000881,119,0
235,180,300,60,120,300,0,0,512,8,8640,2400,0.0023339999999999997,0.0039499999999999995,480,0
236,180,300,60,120,300,0,0,512,8,8640,2400,0.0025830000000000002,0.004327,480,0
237,183,305,61,122,305,0,0,512,8,8784,2440,0.002542,0.004220999999999999,488,0
238,187,320,61,123,318,0,5,512,8,8816,2560,0.002626,0.004438,507,0
239,162,270,54,108,270,0,0,512,8,7776,2160,0.0025859999999999998,0.004281999999999999,432,0
240,87,3353,39,96,148,8,3149,512,8,5376,4749,0.0012219999999999998,0.055615000000000005,3440,0
241,112,4361,49,125,183,13,4103,512,8,6776,6115,0.0023889999999999996,0.073907,4473,0
242,154,4203,42,159,311,13,3832,512,8,6272,6937,0.002196,0.07288700000000001,4357,0
243,149,4150,45,155,290,8,3801,512,8,6592,6729,0.0021019999999999997,0.07231300000000002,4299,0
244,347,3958,45,259,773,13,3215,512,8,8176,10206,0.0047339999999999995,0.068584,4305,0
245,54,1398,14,47,119,5,1267,512,8,2112,2400,0.0008370000000000001,0.024206000000000002,1452,0
246,53,107,21,48,87,0,4,512,8,2944,840,0.000614,0.0012499999999999998,160,0
247,532,1556,147,665,1244,2,30,512,8,21892,12344,0.006069999999999999,0.018012999999999994,2088,0
248,1177,3768,329,1659,2942,0,15,512,8,48896,30084,0.013565999999999998,0.04360399999999999,4945,0
249,1099,3735,260,1635,2923,0,16,512,8,39988,29820,0.012524999999999998,0.04322199999999999,4834,0
250,1112,3686,281,1635,2864,0,18,512,8,42616,29416,0.012665999999999998,0.04231099999999999,4798,0
251,1214,3663,410,1597,2848,0,22,512,8,58912,29216,0.015355999999999998,0.046917999999999994,4877,0
252,2,11,0,4,9,0,0,512,8,16,88,2e-05,0.000118,13,0
253,165,320,65,140,270,0,10,512,8,9120,2520,0.002287,0.004301,485,0
254,283,534,117,239,448,0,13,512,8,16300,4224,0.003783,0.006967999999999999,817,0
255,544,1337,209,590,1063,0,19,512,8,29432,10620,0.006489999999999999,0.016174999999999995,1881,0
256,1403,3889,557,1668,3055,0,12,512,8,78064,31064,0.01792,0.04930799999999999,5292,0
257,1297,3780,457,1643,2953,0,24,512,8,65216,30144,0.015924,0.046131,5077,0
258,725,2032,287,856,1604,0,10,512,8,40240,16216,0.009316999999999999,0.025853999999999995,2757,0
259,119,222,35,76,205,0,25,512,8,5148,1716,0.0017189999999999996,0.003398,341,0
260,192,330,64,128,316,0,14,512,8,9216,2584,0.00264,0.004568,522,0
261,190,326,63,126,310,0,17,512,8,9076,2544,0.002727,0.004691000000000001,516,0
